strength_index,renal_effect_sd,repeat,method,metric,value,denominator
0,0.0,0,Posterior matching (kidney-blind),true_mechanism_accuracy,0.81,1000
0,0.0,0,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.1648936170212765,188
0,0.0,0,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.811,1000
0,0.0,0,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.1170212765957446,188
0,0.0,0,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.811,1000
0,0.0,0,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.1170212765957446,188
0,0.0,1,Posterior matching (kidney-blind),true_mechanism_accuracy,0.83,1000
0,0.0,1,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.1215469613259668,181
0,0.0,1,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.825,1000
0,0.0,1,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.0939226519337016,181
0,0.0,1,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.825,1000
0,0.0,1,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.0939226519337016,181
0,0.0,2,Posterior matching (kidney-blind),true_mechanism_accuracy,0.836,1000
0,0.0,2,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.154696132596685,181
0,0.0,2,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.833,1000
0,0.0,2,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.0994475138121546,181
0,0.0,2,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.833,1000
0,0.0,2,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.0994475138121546,181
0,0.0,3,Posterior matching (kidney-blind),true_mechanism_accuracy,0.809,1000
0,0.0,3,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.1976047904191616,167
0,0.0,3,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.802,1000
0,0.0,3,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.1497005988023952,167
0,0.0,3,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.802,1000
0,0.0,3,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.1497005988023952,167
0,0.0,4,Posterior matching (kidney-blind),true_mechanism_accuracy,0.81,1000
0,0.0,4,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.1403508771929824,171
0,0.0,4,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.816,1000
0,0.0,4,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.1111111111111111,171
0,0.0,4,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.816,1000
