strength_index,renal_effect_sd,method,metric,mean,ci95_low,ci95_high,monte_carlo_standard_error,repeat_count
0,0.0,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.1352189757261563,0.1331013291094162,0.1373366223428965,0.001077831189605,500
0,0.0,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.8113879999999999,0.8103129901538596,0.8124630098461402,0.0005471541531731,500
0,0.0,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.1352189757261563,0.1331013291094162,0.1373366223428965,0.001077831189605,500
0,0.0,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.8113879999999999,0.8103129901538596,0.8124630098461402,0.0005471541531731,500
0,0.0,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.1725324662430359,0.1701519215223481,0.1749130109637236,0.0012116400007082,500
0,0.0,Posterior matching (kidney-blind),true_mechanism_accuracy,0.810128,0.8090477277740643,0.8112082722259356,0.0005498325779066,500
1,0.75,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.1363599431537618,0.1341210728077169,0.1385988134998066,0.00113953115188,500
1,0.75,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.81144,0.8102976269449498,0.8125823730550503,0.0005814404061395,500
1,0.75,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.1363599431537618,0.1341210728077169,0.1385988134998066,0.00113953115188,500
1,0.75,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.81144,0.8102976269449498,0.8125823730550503,0.0005814404061395,500
1,0.75,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.3355016355310266,0.3321668980110126,0.3388363730510406,0.0016973011832116,500
1,0.75,Posterior matching (kidney-blind),true_mechanism_accuracy,0.7949039999999999,0.7937178785421777,0.7960901214578222,0.0006037072908173,500
2,1.5,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.1362414902856444,0.1340506295611269,0.1384323510101619,0.0011150954093561,500
2,1.5,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.812222,0.8111396491546375,0.8133043508453625,0.0005508905451952,500
2,1.5,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.1362414902856444,0.1340506295611269,0.1384323510101619,0.0011150954093561,500
2,1.5,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.812222,0.8111396491546375,0.8133043508453625,0.0005508905451952,500
2,1.5,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.5322793751573867,0.5290165582681803,0.535542192046593,0.0016606953121244,500
2,1.5,Posterior matching (kidney-blind),true_mechanism_accuracy,0.767702,0.7666005471090757,0.7688034528909243,0.0005606130269016,500
3,2.25,Counterfactual scoring (kidney-aware),false_atrial_confounded_competing,0.1339762034919729,0.1317620419091289,0.1361903650748168,0.0011269549857606,500
3,2.25,Counterfactual scoring (kidney-aware),true_mechanism_accuracy,0.812198,0.8111073399630202,0.8132886600369797,0.0005551197238575,500
3,2.25,Posterior (same kidney-aware SCM),false_atrial_confounded_competing,0.1339762034919729,0.1317620419091289,0.1361903650748168,0.0011269549857606,500
3,2.25,Posterior (same kidney-aware SCM),true_mechanism_accuracy,0.812198,0.8111073399630202,0.8132886600369797,0.0005551197238575,500
3,2.25,Posterior matching (kidney-blind),false_atrial_confounded_competing,0.7236165079245158,0.7205363819005954,0.7266966339484362,0.0015677100561782,500
3,2.25,Posterior matching (kidney-blind),true_mechanism_accuracy,0.7361599999999999,0.7349515373821891,0.7373684626178107,0.0006150784038525,500
