repeat,renal_effect_sd,causal_estimated_renal_effect_nt,adjusted_estimated_renal_effect_nt,adjusted_estimated_renal_effect_electrical,adjusted_estimated_renal_effect_competing
0,0.0,0.1659170120003332,0.018995640852152156,-0.1480453493914794,0.16028324238833114
1,0.0,0.08506492178018356,-0.0343212244731812,-0.20320920995880476,0.11813658734891483
2,0.0,0.07350225030489516,0.11563080157797967,-0.06606446020213941,-0.14729147390244998
3,0.0,-0.02200775510665774,-0.10335092308932725,-0.03786770349111801,0.11662087047078991
4,0.0,-0.02074166055212792,-0.07404072199961949,-0.09772767006237679,0.00990395990934678
5,0.0,0.09490178114385367,0.13960692896361926,0.017222161447139284,-0.07185080595946203
6,0.0,-0.07923069189910417,-0.25156979449404077,-0.25446171994388084,0.15991660322800175
7,0.0,-0.004735122075975484,0.0454262352168103,0.07074999436920278,-0.031388773092245525
8,0.0,-0.07299439720898304,-0.18064581842853294,-0.16834568630701666,0.08565696843914583
9,0.0,-0.12366069011140811,-0.16222989758873174,-0.040725343137165936,0.070328700603847
10,0.0,-0.045547097100508666,-0.015681040431780244,-0.04122816112141686,-0.08784903292792312
11,0.0,-0.0813878732897908,-0.0006716764184832164,0.08153873798900127,-0.12166860611065755
12,0.0,-0.08750245785946453,-0.057548942945022864,-0.08842214210505543,-0.14118322225115496
13,0.0,0.11107446051761977,0.07750880379995534,0.07060043886057864,0.12281699433373416
14,0.0,0.0355337630641377,0.08131180255900036,0.04371712731019839,-0.06731883773352565
15,0.0,0.10208325954757962,0.23567327525123036,0.10017771046527917,-0.1587144098512383
16,0.0,-0.12403489991414662,-0.2526830213211916,-0.11859155572525176,0.15375027082098958
17,0.0,-0.031955540192383225,-0.08080457882046449,-0.17087047239874117,-0.035443076846183086
18,0.0,-0.06965691843042726,-0.06695859233492141,-0.02640132580166138,-0.07197060214537698
19,0.0,0.06635565660186929,-0.05065745035905933,-0.07065987347825342,0.144006375440793
20,0.0,0.015711185179517875,0.008639812068610465,0.05524119926499151,0.07360301069400577
21,0.0,-0.09551445855271701,-0.21218870416139116,-0.12195128611911898,0.18799514679834828
22,0.0,0.0019061896360462287,0.06329490759462941,0.14148007446642086,0.01411831845694489
23,0.0,0.024427432241455493,-0.07226040614370312,-0.1480811929436434,0.07419902142565571
24,0.0,0.1456638589553834,0.13880380132242232,-0.009601881218684293,0.010249996427597274
25,0.0,-0.11248898485510112,-0.12662601326010653,0.011770018148310291,0.0444432265713225
26,0.0,-0.08572829194406756,-0.025112374476444987,-0.03373205175800731,-0.19701634900828643
27,0.0,-0.1982014583025182,-0.29266665053166907,-0.07365717336358424,0.14098747380868734
28,0.0,0.048921038999232766,-0.024381981540108805,-0.07942819326364257,0.07384534113416175
29,0.0,-0.06736304086468418,0.03582143363903951,0.15272397934133586,-0.07159459892762632
30,0.0,0.20781573205700787,0.2432545643906985,0.11805865646538008,0.02186897747130634
31,0.0,-0.020205235386361008,-0.16516523774663439,-0.14548103503130827,0.1684579666647907
32,0.0,0.053518009102025185,0.17532805630728435,0.02607399279920243,-0.23879533899314076
33,0.0,0.1026881762628975,0.06943740791557784,-0.062152835289533206,-0.013219978373237518
34,0.0,0.1692467882368129,0.1687239863587261,-0.09207923517473336,-0.06534838246390627
35,0.0,0.06559816020572413,0.2372441508900307,0.18670769680572552,-0.13029664361345
36,0.0,-0.09659322029634929,-0.15734704862182047,-0.027029374763826386,0.09478909451959638
37,0.0,0.17417433162810458,0.1621533886674178,-0.04391063534575532,-0.028955241494107442
38,0.0,0.10014078899540396,0.09795810165878598,-0.061341330720294435,-0.06898478504279071
39,0.0,-0.21089249175935323,-0.1984994030776921,0.04069089744261123,0.010922654506524868
40,0.0,-0.11278240463745348,-0.15499640591201866,-0.02891131782873156,0.11321571888226223
41,0.0,-0.1064232802436855,-0.09337564717891612,-0.016014228704059302,-0.05045866695341439
42,0.0,-0.03307588407000687,-0.04781565704859687,0.013712629479806459,0.03691646090877754
43,0.0,-0.08289939063887375,0.02143227702790742,0.16749586350495502,-0.021622325341109198
44,0.0,0.1397385036321976,0.2288771050738768,0.02937852677129517,-0.17581363767780722
45,0.0,0.08840437216963586,0.1582026854167542,0.02184807595278372,-0.14265994414742855
46,0.0,-0.0325407679805374,0.11376119699252596,0.2044704031554237,-0.11247488879957
47,0.0,-0.05982399998104187,0.08050644006074825,0.03336757843744685,-0.21451493181403802
48,0.0,-0.04434611952169568,-0.06142663799892967,0.07396613035914268,0.1543773562873379
49,0.0,-0.13476297637497006,-0.09906175475770226,0.08162889629400062,0.009029778752047024
50,0.0,-0.024226395172347814,-0.016627187366446444,-0.019622837308001077,-0.042104876856763895
51,0.0,-0.0558489146967166,-0.012360541655491053,0.19164635265593144,0.08690054730857655
52,0.0,-0.274745598711847,-0.28246838659106577,0.03340450801149486,0.048725687725707345
53,0.0,0.05854020599182819,0.24190852311389155,0.21980002895643597,-0.18315156933373666
54,0.0,0.12514641760684642,0.014362149223188639,-0.1905259217851371,0.08582027717336549
55,0.0,0.06248381355535052,0.09211827293890439,0.026628884105226944,-0.043001561282476564
56,0.0,0.012232783420019785,-0.08082288174342599,-0.10450432438791987,0.10793170606213265
57,0.0,0.03740293121139984,-0.07373749568962412,-0.10639488333006955,0.12826764036329696
58,0.0,0.06839944961646562,0.010262303172362444,0.00030986598592301975,0.14709178997823869
59,0.0,0.08897550708335822,0.23326921972772552,0.2795786766386006,-0.16878875087882192
60,0.0,-0.0741343457424752,0.03440010392406281,0.16645476112829835,-0.09056565371038543
61,0.0,-0.05324250226309648,-0.06364115858265004,0.031943423755263975,0.05320721236525261
62,0.0,-0.2000574963354558,-0.17501566919911374,-9.461108823224235e-05,-0.04791316881795171
63,0.0,-0.07760154691502996,-0.0814267575311314,0.022671881018292817,0.030767651417047626
64,0.0,-0.3007270997203041,-0.39981383329356435,-0.09356104162815895,0.10948999377231483
65,0.0,0.030737324846823677,0.181662057206285,0.13114571842013897,-0.22980518119386406
66,0.0,0.049073767788992625,0.03811718914406641,0.06506149995079792,0.08695879587452315
67,0.0,0.11573624602193047,0.1345962166698714,0.03559984804101404,-0.004837021649908735
68,0.0,0.02110012480043033,0.0075227947526653426,-6.169070912806496e-05,0.02752679579579964
69,0.0,0.05746872966740397,0.1427219766083383,0.12358756021043593,-0.08798809126608191
